City,Area,PropertyType,Size,Bedrooms,Bathrooms,YearBuilt,Age,AmenitiesCount,Price
Mumbai,Worli,Penthouse,1788,2,1,2020,4,3,57305322
Hyderabad,Gachibowli,Penthouse,1664,3,2,2017,7,7,11134631
Pune,Magarpatta,Builder Floor,2831,3,2,2014,10,4,22967418
Delhi,Lajpat Nagar,Builder Floor,1603,2,1,2017,7,2,20329612
Hyderabad,Gachibowli,Villa,3495,3,2,2022,2,5,31907557
Delhi,Vasant Kunj,Builder Floor,1773,2,2,2013,11,8,19410207
Chennai,Velachery,Builder Floor,1977,4,4,2018,6,2,15846849
Delhi,Rohini,Villa,3667,2,1,2020,4,3,54075618
Pune,Wakad,Penthouse,2478,4,4,2019,5,3,18990380
Hyderabad,Hitech City,Villa,2221,3,3,2012,12,1,19567735
Hyderabad,Kondapur,Independent House,1212,5,4,2014,10,5,8262413
Chennai,OMR,Builder Floor,1844,3,2,2010,14,0,17142056
Pune,Baner,Apartment,1227,2,2,2020,4,1,10372747
Chennai,OMR,Independent House,1353,3,3,2022,2,7,12973020
Bangalore,Electronic City,Studio,547,1,1,2010,14,8,4082304
Delhi,Vasant Kunj,Studio,619,1,1,2016,8,1,6627895
Pune,Viman Nagar,Apartment,1686,3,3,2020,4,6,15540722
Hyderabad,Hitech City,Penthouse,1563,3,3,2023,1,3,12170039
Bangalore,Marathahalli,Independent House,2543,2,2,2016,8,1,22407609
Hyderabad,Jubilee Hills,Villa,4468,1,1,2010,14,6,46730607
Hyderabad,Hitech City,Apartment,2446,3,2,2021,3,0,18987701
Pune,Hinjewadi,Villa,4241,3,2,2010,14,0,40776582
Delhi,Vasant Kunj,Independent House,2048,3,2,2018,6,5,22748167
Pune,Baner,Penthouse,1711,2,2,2021,3,1,15088003
Delhi,Greater Kailash,Studio,564,1,1,2023,1,8,8015883
Pune,Kothrud,Studio,599,1,1,2023,1,3,4729860
Chennai,Koyambedu,Independent House,2839,4,4,2012,12,6,22113054
Pune,Magarpatta,Builder Floor,2697,3,2,2020,4,8,24185845
Mumbai,Juhu,Villa,2853,2,2,2021,3,8,157009150
Pune,Kothrud,Apartment,2051,1,1,2023,1,4,16229249
Bangalore,Whitefield,Studio,548,1,1,2016,8,0,3595559
Pune,Hinjewadi,Studio,481,1,1,2012,12,8,3365870
Bangalore,HSR Layout,Independent House,2317,3,2,2017,7,2,19336985
Hyderabad,Madhapur,Independent House,1748,4,3,2010,14,7,14504808
Hyderabad,Jubilee Hills,Penthouse,1270,3,3,2016,8,0,9799404
Delhi,Saket,Builder Floor,1889,5,5,2019,5,6,23575412
Mumbai,Juhu,Studio,407,1,1,2022,2,7,14697121
Pune,Viman Nagar,Independent House,2693,3,2,2021,3,2,25940257
Bangalore,Yelahanka,Studio,739,1,1,2021,3,2,7535284
Chennai,Adyar,Studio,712,1,1,2013,11,6,4285877
Hyderabad,Kondapur,Builder Floor,1231,1,1,2010,14,5,8642587
Hyderabad,Hitech City,Studio,449,1,1,2017,7,8,2842261
Bangalore,Whitefield,Penthouse,1697,3,2,2019,5,1,15023916
Bangalore,Yelahanka,Independent House,1522,2,2,2015,9,1,13997224
Bangalore,Marathahalli,Apartment,2120,3,3,2013,11,8,17996330
Delhi,Dwarka,Independent House,1242,3,2,2012,12,1,11928544
Mumbai,Lower Parel,Independent House,1330,3,3,2016,8,2,36468783
Delhi,Greater Kailash,Studio,555,1,1,2015,9,0,5770271
Bangalore,Marathahalli,Apartment,1787,2,1,2020,4,1,17664523
Pune,Kothrud,Builder Floor,2462,2,2,2010,14,5,19321767
Chennai,Koyambedu,Independent House,1039,1,1,2012,12,7,8451898
Pune,Wakad,Villa,4835,2,1,2022,2,0,47851321
Delhi,Greater Kailash,Penthouse,1871,1,1,2022,2,6,25564581
Mumbai,Powai,Villa,3936,2,1,2011,13,4,168710031
Pune,Kothrud,Apartment,1750,2,2,2023,1,8,16673993
Delhi,Lajpat Nagar,Studio,743,1,1,2012,12,5,7270362
Mumbai,Worli,Villa,3859,5,5,2023,1,2,180443650
Chennai,Velachery,Apartment,2318,3,3,2017,7,3,18772540
Bangalore,Indiranagar,Penthouse,1131,3,3,2020,4,3,10986929
Chennai,T. Nagar,Studio,560,1,1,2019,5,4,4541037
Bangalore,HSR Layout,Studio,683,1,1,2011,13,5,5418669
Hyderabad,Kondapur,Villa,2487,1,1,2015,9,4,23920861
Pune,Baner,Builder Floor,1467,2,1,2019,5,0,11588569
Pune,Hinjewadi,Apartment,1508,1,1,2017,7,7,10089662
Pune,Kothrud,Apartment,1480,4,4,2022,2,0,13703964
Bangalore,HSR Layout,Independent House,2478,4,3,2022,2,5,23753770
Mumbai,Bandra,Studio,506,1,1,2020,4,1,16951461
Mumbai,Bandra,Apartment,1167,3,2,2015,9,2,36283789
Chennai,Koyambedu,Penthouse,2270,2,1,2011,13,5,17584927
Pune,Wakad,Penthouse,1029,3,3,2010,14,4,7344686
Hyderabad,Hitech City,Studio,485,1,1,2021,3,2,3512386
Bangalore,Whitefield,Independent House,1713,4,3,2010,14,8,13659437
Bangalore,Koramangala,Villa,3205,1,1,2012,12,5,41741582
Mumbai,Bandra,Penthouse,2050,2,1,2017,7,8,70599390
Mumbai,Juhu,Builder Floor,2665,4,3,2018,6,8,96427525
Mumbai,Worli,Penthouse,1281,4,3,2023,1,6,48439709
Chennai,T. Nagar,Studio,683,1,1,2023,1,7,5849912
Bangalore,Electronic City,Independent House,2492,4,4,2021,3,2,20388144
Chennai,Velachery,Penthouse,1596,3,2,2011,13,5,11967779
Bangalore,Electronic City,Builder Floor,1798,3,2,2016,8,6,16342728
Bangalore,Indiranagar,Independent House,2966,2,1,2014,10,2,26204843
Pune,Wakad,Penthouse,1781,5,5,2018,6,0,13841454
Mumbai,Powai,Independent House,1925,3,3,2011,13,5,64553126
Pune,Viman Nagar,Penthouse,2258,3,3,2013,11,2,18531861
Mumbai,Andheri West,Builder Floor,2345,2,2,2015,9,5,69233990
Mumbai,Goregaon,Villa,4238,2,2,2010,14,4,185481818
Pune,Hinjewadi,Builder Floor,2514,5,5,2012,12,1,16459383
Hyderabad,Jubilee Hills,Villa,4161,5,5,2015,9,5,41261075
Pune,Wakad,Builder Floor,1307,3,3,2023,1,0,10930681
Bangalore,HSR Layout,Builder Floor,1052,3,2,2017,7,6,10556599
Pune,Baner,Studio,552,1,1,2020,4,1,3746067
Delhi,Saket,Penthouse,2148,2,1,2019,5,7,27379038
Hyderabad,Madhapur,Apartment,1114,3,2,2010,14,2,7945121
Chennai,Medavakkam,Penthouse,1848,2,2,2018,6,5,17941023
Pune,Hinjewadi,Apartment,953,2,2,2018,6,5,6692161
Mumbai,Powai,Builder Floor,2448,2,2,2017,7,6,87898448
Chennai,OMR,Independent House,1539,2,1,2014,10,5,14165939
Hyderabad,Madhapur,Studio,692,1,1,2012,12,8,5155662
Chennai,Velachery,Studio,720,1,1,2017,7,5,5606836
Chennai,Anna Nagar,Apartment,2099,4,4,2021,3,1,15524608
Mumbai,Goregaon,Villa,3755,3,2,2015,9,5,198023164
Pune,Kothrud,Penthouse,2759,2,2,2014,10,0,19593794
Bangalore,Koramangala,Penthouse,1140,4,4,2022,2,2,11941103
Delhi,Lajpat Nagar,Apartment,918,3,2,2012,12,0,10123323
Hyderabad,Madhapur,Villa,2928,3,3,2012,12,2,31038418
Mumbai,Juhu,Studio,511,1,1,2020,4,7,18656934
Mumbai,Andheri West,Independent House,2163,3,2,2015,9,7,64380823
Mumbai,Worli,Studio,656,1,1,2010,14,2,18327772
Hyderabad,Madhapur,Builder Floor,2563,3,2,2013,11,6,20174052
Mumbai,Worli,Apartment,1511,3,3,2019,5,8,54377485
Pune,Viman Nagar,Apartment,984,2,2,2012,12,1,8229847
Mumbai,Powai,Villa,2792,1,1,2022,2,2,153424062
Pune,Magarpatta,Studio,734,1,1,2019,5,3,6334715
Delhi,Dwarka,Studio,655,1,1,2011,13,3,5689975
Chennai,Koyambedu,Studio,525,1,1,2017,7,3,4373964
Pune,Magarpatta,Studio,623,1,1,2014,10,3,5038626
Hyderabad,Hitech City,Builder Floor,2449,4,3,2016,8,2,17891709
Pune,Magarpatta,Studio,653,1,1,2022,2,2,5075415
Pune,Baner,Studio,598,1,1,2018,6,3,4335339
Mumbai,Bandra,Villa,2317,3,3,2022,2,6,112775043
Hyderabad,Kondapur,Villa,2392,3,2,2019,5,8,26417637
Chennai,Velachery,Apartment,1864,2,2,2019,5,2,14435721
Bangalore,Electronic City,Penthouse,1965,3,2,2022,2,3,16944318
Delhi,Dwarka,Apartment,1237,4,4,2013,11,5,11287036
Chennai,Adyar,Studio,472,1,1,2010,14,3,2821040
Pune,Hinjewadi,Studio,732,1,1,2020,4,8,5269022
Hyderabad,Kondapur,Builder Floor,2290,3,3,2014,10,8,16271054
Mumbai,Andheri West,Builder Floor,2906,2,1,2013,11,4,96796296
Bangalore,Yelahanka,Builder Floor,2639,3,3,2023,1,3,30790392
Delhi,Greater Kailash,Villa,3995,1,1,2019,5,3,70260914
Pune,Baner,Villa,4591,2,2,2013,11,8,52098750
Hyderabad,Hitech City,Studio,740,1,1,2011,13,8,4757121
Bangalore,Koramangala,Studio,592,1,1,2019,5,7,5177173
Hyderabad,Hitech City,Villa,3507,3,3,2020,4,7,33234199
Pune,Kothrud,Studio,769,1,1,2010,14,1,5087160
Pune,Kothrud,Penthouse,1172,2,2,2022,2,2,10403152
Hyderabad,Hitech City,Builder Floor,1943,4,4,2018,6,2,14216421
Hyderabad,Jubilee Hills,Penthouse,1515,3,2,2018,6,1,11994950
Chennai,OMR,Builder Floor,1154,3,3,2017,7,4,11438526
Bangalore,Marathahalli,Studio,745,1,1,2015,9,4,5857393
Chennai,Koyambedu,Apartment,816,4,4,2023,1,2,7847934
Bangalore,Marathahalli,Villa,4202,3,3,2022,2,1,55241099
Delhi,Vasant Kunj,Independent House,1933,3,3,2021,3,5,24245233
Pune,Kothrud,Penthouse,2571,4,3,2014,10,2,20345466
Delhi,Vasant Kunj,Independent House,2780,2,1,2020,4,2,35686510
Pune,Kothrud,Studio,566,1,1,2017,7,7,4229822
Pune,Viman Nagar,Villa,4527,2,2,2012,12,0,48124908
Pune,Kothrud,Apartment,2165,1,1,2011,13,2,16847816
Chennai,OMR,Independent House,1894,2,1,2014,10,5,15897167
Chennai,Medavakkam,Villa,3630,3,3,2023,1,8,48795533
Hyderabad,Gachibowli,Penthouse,1977,3,2,2022,2,8,13852622
Pune,Wakad,Apartment,1924,3,3,2015,9,2,13276449
Pune,Wakad,Independent House,1693,3,2,2020,4,0,12358518
Delhi,Lajpat Nagar,Studio,664,1,1,2019,5,1,7182015
Mumbai,Goregaon,Apartment,1124,3,3,2020,4,8,39517608
Delhi,Vasant Kunj,Independent House,1849,3,3,2018,6,3,24117110
Chennai,Koyambedu,Villa,3937,5,5,2017,7,3,50793587
Hyderabad,Banjara Hills,Builder Floor,1276,4,4,2018,6,8,9921710
Bangalore,Electronic City,Villa,2492,4,4,2014,10,4,27876236
Bangalore,Marathahalli,Apartment,1664,2,2,2023,1,2,14767924
Delhi,Dwarka,Apartment,918,1,1,2010,14,4,8787238
Mumbai,Lower Parel,Apartment,2013,2,2,2022,2,5,70597542
Mumbai,Bandra,Studio,444,1,1,2023,1,0,13354905
Hyderabad,Madhapur,Independent House,2654,2,2,2010,14,6,19759029
Hyderabad,Gachibowli,Apartment,2137,2,1,2021,3,6,15126887
Chennai,Velachery,Studio,690,1,1,2013,11,6,5638449
Bangalore,Marathahalli,Apartment,2186,4,4,2019,5,2,21018559
Chennai,OMR,Builder Floor,1109,2,1,2019,5,4,10629486
Delhi,Lajpat Nagar,Independent House,1243,3,3,2018,6,6,17109122
Mumbai,Bandra,Penthouse,2610,2,2,2022,2,2,89870368
Bangalore,Yelahanka,Builder Floor,2386,3,3,2023,1,4,25315696
Delhi,Saket,Independent House,1283,1,1,2018,6,5,13475485
Delhi,Vasant Kunj,Penthouse,2111,2,1,2013,11,5,22053215
Pune,Wakad,Builder Floor,1959,1,1,2012,12,3,13264394
Mumbai,Worli,Apartment,1086,2,1,2017,7,3,37903979
Mumbai,Lower Parel,Studio,731,1,1,2021,3,8,20562608
Hyderabad,Gachibowli,Villa,3072,3,3,2022,2,0,32338039
Delhi,Lajpat Nagar,Penthouse,2642,1,1,2014,10,2,29185562
Bangalore,Koramangala,Studio,674,1,1,2020,4,5,6377298
Delhi,Lajpat Nagar,Independent House,1013,2,2,2023,1,3,13992124
Mumbai,Powai,Builder Floor,2750,3,3,2023,1,2,93403705
Hyderabad,Kondapur,Villa,2323,3,2,2022,2,6,24179609
Chennai,Medavakkam,Apartment,1034,5,5,2022,2,5,9806737
Bangalore,Electronic City,Builder Floor,1861,4,4,2011,13,5,13328166
Chennai,Adyar,Studio,474,1,1,2019,5,4,3392785
Mumbai,Lower Parel,Villa,4419,2,2,2018,6,5,173531162
Pune,Magarpatta,Independent House,2442,4,3,2014,10,1,21927423
Pune,Viman Nagar,Studio,641,1,1,2010,14,3,5043485
Hyderabad,Jubilee Hills,Builder Floor,2411,3,2,2023,1,0,21328891
Mumbai,Andheri West,Penthouse,1530,1,1,2014,10,5,45534061
Mumbai,Goregaon,Studio,479,1,1,2020,4,1,15298776
Pune,Hinjewadi,Apartment,1217,1,1,2022,2,5,9264056
Mumbai,Worli,Apartment,818,3,3,2015,9,5,25409620
Pune,Hinjewadi,Villa,2876,1,1,2016,8,4,28535449
Mumbai,Andheri West,Penthouse,1808,4,4,2021,3,6,57923027
Bangalore,Koramangala,Independent House,2428,2,2,2013,11,6,23042964
Mumbai,Powai,Builder Floor,2279,2,1,2023,1,6,90912028
Delhi,Vasant Kunj,Apartment,2170,3,3,2015,9,3,26092806
Pune,Hinjewadi,Villa,4979,4,3,2018,6,8,51838865
Hyderabad,Jubilee Hills,Villa,2232,3,3,2010,14,3,21526555
Hyderabad,Madhapur,Penthouse,2354,3,3,2014,10,1,19958044
Pune,Viman Nagar,Penthouse,2172,2,2,2012,12,6,17576816
Bangalore,Whitefield,Builder Floor,1980,4,3,2022,2,0,15445117
Pune,Viman Nagar,Builder Floor,1374,3,3,2013,11,5,12039643
Pune,Hinjewadi,Penthouse,2875,3,2,2012,12,2,18398226
Delhi,Saket,Independent House,2871,3,2,2016,8,0,31870442
Delhi,Greater Kailash,Penthouse,2851,3,2,2022,2,5,35721208
Pune,Hinjewadi,Penthouse,2078,3,3,2019,5,6,16203755
Chennai,T. Nagar,Apartment,1748,2,2,2017,7,2,14393364
Mumbai,Goregaon,Penthouse,2678,3,2,2021,3,6,106943538
Mumbai,Worli,Villa,3488,1,1,2015,9,5,151977074
Bangalore,Indiranagar,Penthouse,2779,2,2,2015,9,2,25501163
Mumbai,Lower Parel,Independent House,1299,3,3,2019,5,4,37486945
Hyderabad,Madhapur,Independent House,1608,3,3,2018,6,0,12748220
Mumbai,Worli,Apartment,2057,2,2,2017,7,6,69724653
Hyderabad,Madhapur,Villa,3034,3,2,2017,7,8,31972037
Hyderabad,Gachibowli,Independent House,1344,2,1,2011,13,1,8568858
Chennai,Adyar,Villa,2342,3,3,2011,13,1,22567386
Mumbai,Goregaon,Villa,2513,3,2,2023,1,3,124983080
Chennai,OMR,Apartment,2335,3,2,2020,4,1,24438247
Bangalore,Marathahalli,Villa,4414,2,1,2023,1,4,57323655
Mumbai,Juhu,Apartment,1336,2,2,2011,13,8,44696149
Pune,Magarpatta,Studio,623,1,1,2016,8,8,4860623
Chennai,Koyambedu,Builder Floor,1307,4,3,2013,11,8,12111720
Pune,Magarpatta,Studio,671,1,1,2021,3,0,5773641
Pune,Viman Nagar,Penthouse,2779,3,2,2018,6,0,21816150
Pune,Kothrud,Studio,551,1,1,2011,13,7,3743278
Delhi,Lajpat Nagar,Studio,572,1,1,2019,5,4,6990507
Hyderabad,Gachibowli,Villa,4230,3,3,2016,8,5,37384622
Bangalore,Marathahalli,Builder Floor,1231,3,3,2015,9,1,9478629
Delhi,Lajpat Nagar,Penthouse,1199,2,2,2011,13,6,13112562
Mumbai,Goregaon,Independent House,2540,3,3,2022,2,2,99065683
Mumbai,Bandra,Independent House,2198,3,2,2016,8,6,66273516
Delhi,Rohini,Studio,434,1,1,2023,1,6,5227133
Chennai,Medavakkam,Penthouse,1431,5,5,2014,10,6,12412779
Delhi,Greater Kailash,Apartment,2009,4,3,2022,2,6,25222615
Chennai,OMR,Studio,402,1,1,2023,1,2,3522885
Chennai,Koyambedu,Studio,538,1,1,2017,7,0,4092289
Delhi,Saket,Villa,3736,3,3,2010,14,7,52175199
Hyderabad,Gachibowli,Independent House,1756,1,1,2016,8,6,10742563
Mumbai,Powai,Apartment,1989,3,2,2019,5,3,74121981
Mumbai,Powai,Independent House,1901,3,2,2010,14,8,58876517
Pune,Magarpatta,Penthouse,1442,2,1,2020,4,1,13736021
Chennai,OMR,Studio,444,1,1,2021,3,5,3841443
Hyderabad,Gachibowli,Villa,3243,2,1,2018,6,5,27316752
Mumbai,Bandra,Independent House,2243,3,2,2021,3,5,71271369
Bangalore,Marathahalli,Studio,559,1,1,2018,6,0,4699336
Delhi,Rohini,Villa,3342,2,2,2016,8,2,50313001
Delhi,Dwarka,Penthouse,2497,3,3,2012,12,6,22853902
Mumbai,Andheri West,Penthouse,2459,5,4,2021,3,0,77244870
Mumbai,Powai,Independent House,1994,2,1,2013,11,5,65382804
Chennai,Koyambedu,Studio,772,1,1,2019,5,3,5950657
Pune,Kothrud,Apartment,1280,3,3,2020,4,0,10958840
Pune,Baner,Penthouse,2063,5,5,2023,1,5,16565096
Bangalore,Marathahalli,Builder Floor,1235,3,2,2012,12,3,10006073
Chennai,OMR,Apartment,1139,3,2,2018,6,4,12109763
Bangalore,Koramangala,Builder Floor,1832,3,3,2021,3,4,19285174
Chennai,OMR,Studio,457,1,1,2013,11,5,3624818
Mumbai,Lower Parel,Penthouse,1192,1,1,2023,1,5,40848291
Chennai,Porur,Studio,794,1,1,2010,14,1,6956970
Pune,Kothrud,Apartment,1574,3,3,2010,14,0,11832230
Bangalore,Whitefield,Independent House,1823,4,3,2022,2,6,14866882
Hyderabad,Gachibowli,Studio,596,1,1,2012,12,6,3245631
Hyderabad,Banjara Hills,Builder Floor,1199,3,3,2012,12,7,8162344
Mumbai,Andheri West,Villa,2715,5,4,2018,6,2,118891090
Delhi,Saket,Builder Floor,1401,2,2,2019,5,0,14714304
Pune,Viman Nagar,Apartment,851,3,2,2010,14,8,7382819
Delhi,Vasant Kunj,Builder Floor,1996,3,3,2021,3,1,23289347
Bangalore,Indiranagar,Villa,4982,2,2,2014,10,4,70763082
Chennai,Medavakkam,Apartment,2273,3,3,2010,14,8,20299749
Hyderabad,Kondapur,Builder Floor,2246,4,4,2017,7,2,18453398
Chennai,Adyar,Studio,617,1,1,2019,5,1,4418979
Bangalore,Electronic City,Penthouse,1119,2,2,2016,8,2,10102769
Mumbai,Bandra,Studio,473,1,1,2017,7,7,15181236
Pune,Baner,Independent House,1607,5,4,2022,2,2,14061044
Pune,Magarpatta,Studio,657,1,1,2013,11,1,5169888
Hyderabad,Gachibowli,Studio,522,1,1,2021,3,4,3654782
Pune,Viman Nagar,Villa,4800,3,3,2023,1,4,65062872
Bangalore,HSR Layout,Apartment,1770,1,1,2012,12,4,15808500
Hyderabad,Madhapur,Apartment,1918,3,3,2012,12,6,14453052
Bangalore,Electronic City,Apartment,2131,5,4,2010,14,5,15168138
Hyderabad,Madhapur,Independent House,1183,3,2,2019,5,0,10634677
Mumbai,Andheri West,Apartment,816,1,1,2018,6,2,28262663
Pune,Wakad,Apartment,1633,4,4,2013,11,3,11976076
Mumbai,Juhu,Studio,669,1,1,2023,1,6,23102331
Hyderabad,Hitech City,Apartment,1922,2,2,2018,6,5,13528179
Mumbai,Andheri West,Penthouse,2854,3,2,2020,4,3,92041677
Delhi,Saket,Independent House,1237,3,2,2018,6,0,14317235
Mumbai,Lower Parel,Independent House,2223,4,4,2019,5,6,69081416
Mumbai,Bandra,Apartment,1510,2,1,2014,10,6,44108050
Hyderabad,Madhapur,Independent House,1247,2,2,2020,4,6,9907134
Hyderabad,Banjara Hills,Villa,4396,5,5,2023,1,6,46354716
Bangalore,Yelahanka,Studio,478,1,1,2013,11,2,4419586
Bangalore,Indiranagar,Penthouse,1470,3,2,2016,8,7,15892621
Pune,Baner,Apartment,1810,4,4,2011,13,4,12888898
Chennai,Anna Nagar,Villa,4496,3,3,2011,13,1,45120180
Chennai,Koyambedu,Villa,2107,2,2,2019,5,0,25323964
Bangalore,Whitefield,Villa,3327,3,2,2011,13,0,35615085
Hyderabad,Kondapur,Apartment,2307,5,5,2022,2,3,16521490
Delhi,Greater Kailash,Independent House,1252,3,2,2019,5,1,18035197
Pune,Wakad,Villa,2164,2,2,2013,11,5,20759704
Mumbai,Bandra,Independent House,1822,4,4,2010,14,4,54787311
Chennai,Velachery,Independent House,2794,4,4,2022,2,1,24396553
Chennai,Medavakkam,Apartment,1769,4,4,2015,9,3,16083825
Chennai,OMR,Apartment,1051,4,4,2014,10,3,9279374
Mumbai,Bandra,Independent House,1151,5,4,2016,8,6,39424603
Pune,Kothrud,Independent House,1712,3,3,2013,11,7,12932473
Mumbai,Bandra,Studio,744,1,1,2018,6,5,20516431
Chennai,Medavakkam,Builder Floor,1206,3,2,2013,11,8,10046606
Delhi,Vasant Kunj,Independent House,2410,3,2,2023,1,7,30203862
Bangalore,HSR Layout,Studio,637,1,1,2017,7,1,4868298
Mumbai,Goregaon,Penthouse,1997,3,2,2016,8,3,72327957
Hyderabad,Gachibowli,Villa,4755,5,4,2013,11,2,37470054
Delhi,Saket,Penthouse,2271,3,3,2013,11,8,25575444
Bangalore,Indiranagar,Penthouse,1696,3,2,2013,11,0,16674977
Mumbai,Lower Parel,Studio,668,1,1,2018,6,8,17442424
Delhi,Rohini,Villa,3954,2,2,2019,5,0,63770475
Hyderabad,Madhapur,Independent House,2590,3,3,2017,7,8,21693839
Hyderabad,Kondapur,Builder Floor,2774,2,1,2018,6,5,22336642
Delhi,Vasant Kunj,Villa,3357,1,1,2013,11,8,54337518
Chennai,Koyambedu,Independent House,2950,1,1,2020,4,5,25520097
Mumbai,Bandra,Independent House,2733,2,2,2022,2,3,95235429
Delhi,Lajpat Nagar,Villa,4199,3,2,2017,7,0,66137563
Mumbai,Juhu,Studio,769,1,1,2019,5,6,28857090
Pune,Hinjewadi,Penthouse,2435,2,1,2013,11,8,17615627
Bangalore,Koramangala,Villa,3465,4,3,2016,8,0,47028186
Delhi,Saket,Penthouse,2029,5,4,2023,1,4,24015408
Chennai,T. Nagar,Independent House,1975,2,1,2016,8,7,16928734
Chennai,Velachery,Builder Floor,2576,3,3,2015,9,3,20681480
Chennai,T. Nagar,Villa,4359,4,3,2014,10,3,51433194
Bangalore,HSR Layout,Independent House,2508,4,3,2021,3,2,25541296
Bangalore,Indiranagar,Penthouse,2246,1,1,2020,4,3,21155556
Bangalore,HSR Layout,Builder Floor,1628,3,2,2017,7,2,14275761
Chennai,Velachery,Independent House,2746,4,3,2017,7,7,23443765
Mumbai,Bandra,Studio,619,1,1,2022,2,8,19573099
Delhi,Lajpat Nagar,Studio,422,1,1,2011,13,6,4788379
Pune,Kothrud,Apartment,1514,2,1,2017,7,1,13149751
Delhi,Lajpat Nagar,Villa,4475,1,1,2016,8,3,69842413
Mumbai,Bandra,Apartment,2253,2,2,2020,4,3,69912810
Chennai,Velachery,Independent House,2077,3,2,2012,12,3,15263349
Mumbai,Goregaon,Villa,2520,3,3,2010,14,7,107327981
Hyderabad,Banjara Hills,Penthouse,2142,4,3,2018,6,7,16941751
Pune,Viman Nagar,Apartment,1219,3,3,2023,1,5,12178047
Bangalore,Yelahanka,Studio,638,1,1,2019,5,8,6541194
Delhi,Dwarka,Apartment,2132,3,3,2012,12,7,20359515
Pune,Magarpatta,Independent House,2317,2,1,2022,2,1,23385349
Pune,Wakad,Villa,3810,4,3,2017,7,1,37930238
Mumbai,Andheri West,Apartment,1080,2,2,2018,6,3,36558472
Hyderabad,Gachibowli,Penthouse,2986,4,3,2015,9,1,20171860
Hyderabad,Kondapur,Penthouse,2737,4,3,2013,11,4,20606718
Chennai,Porur,Apartment,1262,4,3,2020,4,4,11815858
Hyderabad,Jubilee Hills,Penthouse,1872,2,1,2022,2,1,16442313
Delhi,Vasant Kunj,Villa,3692,3,2,2023,1,3,68496505
Mumbai,Goregaon,Studio,413,1,1,2021,3,4,14001903
Bangalore,Yelahanka,Builder Floor,2378,3,3,2018,6,6,27278063
Mumbai,Bandra,Studio,477,1,1,2022,2,6,14431062
Hyderabad,Kondapur,Builder Floor,1576,1,1,2018,6,0,10974398
Mumbai,Powai,Builder Floor,1029,3,3,2010,14,0,32818017
Hyderabad,Kondapur,Studio,451,1,1,2017,7,7,3211853
Chennai,Porur,Penthouse,2087,3,3,2021,3,5,21749947
Pune,Wakad,Studio,562,1,1,2022,2,5,3962587
Hyderabad,Jubilee Hills,Builder Floor,2396,3,3,2013,11,1,16622747
Hyderabad,Jubilee Hills,Independent House,2924,3,2,2019,5,0,22033593
Hyderabad,Gachibowli,Villa,2939,2,2,2012,12,3,26555246
Bangalore,Indiranagar,Villa,4900,5,5,2019,5,1,65813925
Pune,Wakad,Studio,692,1,1,2013,11,7,4900812
Delhi,Dwarka,Builder Floor,1803,3,3,2017,7,1,19187230
Bangalore,Marathahalli,Builder Floor,2598,3,2,2023,1,7,22269724
Mumbai,Juhu,Independent House,1085,3,2,2016,8,6,38870323
Bangalore,Yelahanka,Independent House,2572,2,2,2012,12,7,24277557
Mumbai,Juhu,Independent House,1656,2,1,2015,9,4,63836098
Bangalore,Whitefield,Studio,705,1,1,2012,12,5,4726537
Delhi,Lajpat Nagar,Apartment,1800,2,1,2021,3,1,23851520
Bangalore,Whitefield,Builder Floor,1173,3,2,2022,2,5,9364818
Chennai,Anna Nagar,Independent House,2165,3,2,2021,3,5,16978391
Pune,Wakad,Independent House,2292,1,1,2016,8,0,15119823
Bangalore,Whitefield,Studio,508,1,1,2017,7,1,3652058
Pune,Wakad,Studio,481,1,1,2022,2,3,3464621
Chennai,Medavakkam,Builder Floor,1841,2,2,2015,9,7,18081079
Mumbai,Juhu,Independent House,1885,2,2,2012,12,8,71079942
Mumbai,Goregaon,Studio,719,1,1,2020,4,8,26158145
Pune,Kothrud,Studio,602,1,1,2017,7,1,4335209
Pune,Viman Nagar,Studio,679,1,1,2013,11,5,5404495
Delhi,Rohini,Apartment,2374,2,1,2022,2,7,26836649
Mumbai,Bandra,Builder Floor,1645,2,2,2014,10,1,54671700
Delhi,Greater Kailash,Villa,4429,3,3,2012,12,4,74649638
Bangalore,Electronic City,Apartment,2152,3,2,2019,5,4,16996611
Chennai,Adyar,Apartment,881,3,3,2015,9,6,5962243
Bangalore,HSR Layout,Villa,3960,3,3,2017,7,5,53223446
Delhi,Vasant Kunj,Penthouse,1389,1,1,2014,10,3,14876575
Pune,Magarpatta,Studio,571,1,1,2020,4,4,5143203
Hyderabad,Banjara Hills,Studio,762,1,1,2017,7,0,5212140
Mumbai,Bandra,Apartment,1204,2,1,2014,10,7,39354393
Chennai,T. Nagar,Independent House,2896,3,3,2011,13,0,21127867
Chennai,T. Nagar,Independent House,1011,2,2,2017,7,8,8384458
Bangalore,Indiranagar,Apartment,2280,2,1,2019,5,7,24115665
Pune,Magarpatta,Apartment,2192,1,1,2017,7,2,20195745
Pune,Magarpatta,Studio,465,1,1,2014,10,5,3668883
Hyderabad,Hitech City,Apartment,1472,3,3,2016,8,8,9571673
Delhi,Rohini,Penthouse,2421,3,3,2018,6,1,28661056
Mumbai,Bandra,Independent House,1928,1,1,2017,7,1,61644040
Chennai,Velachery,Villa,2353,2,2,2014,10,1,27787014
